22:55.641 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
22:55.642 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
22:55.643 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
22:55.643 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
04:54:50.248 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
04:55:07.816 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
04:55:07.816 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
05:32:10.177 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
05:32:12.376 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
192:39:50.505 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
192:40:46.888 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
192:41:08.821 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
192:41:14.910 WARNING:   [729802496] nuance.audio.SourcePad.main:main         shrinkMTArray_() found 1 used marker reached tasks, expected 0, abort shrinking  [2115]
